cluster_label,scene_rank,similarity,episode,episode_num,scene_number,is_continuation,scene_text,size,likes_total
3,2,0.6348979473114014,ep56,56,894,False,"（景仁宫内室）
甄嬛：给皇后娘娘请安，恭祝娘娘凤体康健、千岁金安。
皇后：起来坐吧。
甄嬛：谢娘娘。
皇后：剪秋，看茶。今儿个也不是初一十五的大日子，熹妃这样早就来了。
甄嬛：本该昨日一回宫就来的，因而今日特来向娘娘请罪。
皇后：你有孕在身，又刚从甘露寺回来，是应该好好地歇息一下，反正日后都要见的，请安也不急在一时。
甄嬛：皇后关怀，臣妾也不敢太放肆。臣妾在外，不敢忘了皇后恩德，因此日日祝祷，奉了",286,15273
3,3,0.626974880695343,ep56,56,897,False,"（街）
胧月：额娘，我们这是要去哪儿啊？
敬妃：胧月，额娘带你去给熹娘娘请安。
胧月：就是那天穿得特漂亮的那个吗？
敬妃：胧月真聪明，就是她。
胧月：她也是胧月的额娘吗？为什么胧月以前都没有见过她？
敬妃：胧月，以前熹娘娘不在宫里啊。胧月，以后你要多去熹娘娘那里玩，熹娘娘可喜欢胧月了。
胧月：熹娘娘生得漂亮，胧月也喜欢，可是我还是最喜欢额娘。",286,15273
4,1,0.5713170766830444,ep56,56,891,False,"（？皇帝皇后和众嫔妃迎候甄嬛）
太监：熹妃回宫——
甄嬛：臣妾归来，恭祝皇上、皇后圣体康健、福泽万年。
皇帝：一路可好吗？
甄嬛：都好。
皇后：皇上一告诉本宫你要回来，本宫开心得不得了啊。
甄嬛：多谢皇后娘娘关怀备至。
皇帝：果郡王既为册封使，便代朕将册封熹妃之旨晓谕六宫，此刻诸妃皆在，劳十七弟宣读吧。
允礼：是。奉天承运，皇帝诏曰：惟赞宫廷而衍庆，端赖柔嘉，钮祜禄甄嬛，毓质名门，温恭懋著，仰承皇",109,2933
4,2,0.5683746337890625,ep56,56,897,False,"（街）
胧月：额娘，我们这是要去哪儿啊？
敬妃：胧月，额娘带你去给熹娘娘请安。
胧月：就是那天穿得特漂亮的那个吗？
敬妃：胧月真聪明，就是她。
胧月：她也是胧月的额娘吗？为什么胧月以前都没有见过她？
敬妃：胧月，以前熹娘娘不在宫里啊。胧月，以后你要多去熹娘娘那里玩，熹娘娘可喜欢胧月了。
胧月：熹娘娘生得漂亮，胧月也喜欢，可是我还是最喜欢额娘。",109,2933
4,3,0.5594489574432373,ep56,56,894,False,"（景仁宫内室）
甄嬛：给皇后娘娘请安，恭祝娘娘凤体康健、千岁金安。
皇后：起来坐吧。
甄嬛：谢娘娘。
皇后：剪秋，看茶。今儿个也不是初一十五的大日子，熹妃这样早就来了。
甄嬛：本该昨日一回宫就来的，因而今日特来向娘娘请罪。
皇后：你有孕在身，又刚从甘露寺回来，是应该好好地歇息一下，反正日后都要见的，请安也不急在一时。
甄嬛：皇后关怀，臣妾也不敢太放肆。臣妾在外，不敢忘了皇后恩德，因此日日祝祷，奉了",109,2933
5,1,0.5627017021179199,ep56,56,897,False,"（街）
胧月：额娘，我们这是要去哪儿啊？
敬妃：胧月，额娘带你去给熹娘娘请安。
胧月：就是那天穿得特漂亮的那个吗？
敬妃：胧月真聪明，就是她。
胧月：她也是胧月的额娘吗？为什么胧月以前都没有见过她？
敬妃：胧月，以前熹娘娘不在宫里啊。胧月，以后你要多去熹娘娘那里玩，熹娘娘可喜欢胧月了。
胧月：熹娘娘生得漂亮，胧月也喜欢，可是我还是最喜欢额娘。",36,273
5,2,0.5110728740692139,ep56,56,898,False,"（永寿宫）
甄嬛：姐姐的绣功是越发好了，我的孩子要赖着姐姐做姨娘，你还不多做几件肚兜？
眉庄：这些年给胧月做得还少吗？差不多都是我和敬妃亲自动手，你说你要是生上一辈子的孩子，那我岂不是要给你做一辈子的衣裳了？你这算盘也打得真好。
槿汐：娘娘，敬妃带着胧月公主来了。
甄嬛：快请进来。
敬妃：这里真是凉爽啊，皇上让人用三个月修的永寿宫果然甚好。胧月快点叫。
胧月：给熹娘娘请安。
甄嬛：昨日人多不好言谢",36,273
5,3,0.4638296663761139,ep76,76,1182,False,（叶澜依割腕自尽）,36,273
6,1,0.6263072490692139,ep56,56,894,False,"（景仁宫内室）
甄嬛：给皇后娘娘请安，恭祝娘娘凤体康健、千岁金安。
皇后：起来坐吧。
甄嬛：谢娘娘。
皇后：剪秋，看茶。今儿个也不是初一十五的大日子，熹妃这样早就来了。
甄嬛：本该昨日一回宫就来的，因而今日特来向娘娘请罪。
皇后：你有孕在身，又刚从甘露寺回来，是应该好好地歇息一下，反正日后都要见的，请安也不急在一时。
甄嬛：皇后关怀，臣妾也不敢太放肆。臣妾在外，不敢忘了皇后恩德，因此日日祝祷，奉了",33,532
6,2,0.6160945296287537,ep76,76,1184,False,"（景仁宫）
众：给皇太后请安。
甄嬛：景仁宫一切如旧，似乎还是昔年景象。
小允子：时移世易，人事早已不同。
甄嬛：皇后还似从前一样盯着那些鸽子看吗？
丫鬟：早些年是，先帝驾崩后皇后日夜痛哭，眼睛不大好了，便不再成天望着这些乱飞的鸽子。依太后娘娘的吩咐，这些鸽子老了就再养，总是要活蹦乱跳爱飞的那些。
小允子：乌拉那拉氏怎么不来迎接太后？
甄嬛：她是皇后，我是妃妾，自然该是我去拜见她。人在哪儿？
（甄",33,532
6,3,0.6073330640792847,ep56,56,899,False,"（寿康宫，眉嬛入）
眉庄：太后怎么先喝上药了，应该臣妾来喂您才是啊。
太后：你来得正好，除了你孙姑姑，也就你伺候得最叫哀家舒坦。
甄嬛：臣妾拜见太后，愿太后凤体康健、福泽万年。
太后：回来了？永寿宫住得还习惯？
甄嬛：永寿宫太过奢华，臣妾很是不安。
太后：虽然奢华，皇帝要宠着你，也不算什么。这药喝得哀家舌头发苦，去倒掉也罢。
眉庄：臣妾就说太后越活越年轻，太后还不信，非说臣妾哄您，如今这怕苦不肯吃",33,532
7,1,0.37103065848350525,ep76,76,1182,False,（叶澜依割腕自尽）,88,50
7,2,0.30849340558052063,ep56,56,897,False,"（街）
胧月：额娘，我们这是要去哪儿啊？
敬妃：胧月，额娘带你去给熹娘娘请安。
胧月：就是那天穿得特漂亮的那个吗？
敬妃：胧月真聪明，就是她。
胧月：她也是胧月的额娘吗？为什么胧月以前都没有见过她？
敬妃：胧月，以前熹娘娘不在宫里啊。胧月，以后你要多去熹娘娘那里玩，熹娘娘可喜欢胧月了。
胧月：熹娘娘生得漂亮，胧月也喜欢，可是我还是最喜欢额娘。",88,50
7,3,0.2999493181705475,ep56,56,894,False,"（景仁宫内室）
甄嬛：给皇后娘娘请安，恭祝娘娘凤体康健、千岁金安。
皇后：起来坐吧。
甄嬛：谢娘娘。
皇后：剪秋，看茶。今儿个也不是初一十五的大日子，熹妃这样早就来了。
甄嬛：本该昨日一回宫就来的，因而今日特来向娘娘请罪。
皇后：你有孕在身，又刚从甘露寺回来，是应该好好地歇息一下，反正日后都要见的，请安也不急在一时。
甄嬛：皇后关怀，臣妾也不敢太放肆。臣妾在外，不敢忘了皇后恩德，因此日日祝祷，奉了",88,50
8,1,0.3448246717453003,ep76,76,1182,False,（叶澜依割腕自尽）,47,23
8,2,0.2828846871852875,ep76,76,1179,False,"（勤政殿，皇帝躺着）
皇帝：渴了，喝点水。
澜依：好，皇上也该到了服用金丹的时候了，（喂丹丸）来，让臣妾伺候您服用。来，让臣妾扶着您。
皇帝：朕记得你刚入宫的时候性子孤傲冷淡，现在是是越来越柔情似水了。
澜依：皇上难道没有听说过“温柔刀，刀刀割人性命”吗？
甄嬛（入）：皇上万福金安。
（澜依使个眼色，出）
甄嬛：皇上气色倒好多了。
皇帝：夏刈呢？
甄嬛：药熬好了，皇上怎么先喝参汤了？
皇帝：夏刈。",47,23
8,3,0.27611202001571655,ep56,56,894,False,"（景仁宫内室）
甄嬛：给皇后娘娘请安，恭祝娘娘凤体康健、千岁金安。
皇后：起来坐吧。
甄嬛：谢娘娘。
皇后：剪秋，看茶。今儿个也不是初一十五的大日子，熹妃这样早就来了。
甄嬛：本该昨日一回宫就来的，因而今日特来向娘娘请罪。
皇后：你有孕在身，又刚从甘露寺回来，是应该好好地歇息一下，反正日后都要见的，请安也不急在一时。
甄嬛：皇后关怀，臣妾也不敢太放肆。臣妾在外，不敢忘了皇后恩德，因此日日祝祷，奉了",47,23
9,1,0.5625832080841064,ep76,76,1182,False,（叶澜依割腕自尽）,81,1269
9,2,0.5522688627243042,ep63,63,996,True,"（景仁宫）
静白：贫尼甘露寺静白，见过皇上、皇后娘娘。熹贵妃安好，许久不见，不知熹贵妃还记得故人吗？
甄嬛：静白师父？能劳动大驾进宫，想必是挨的板子已经好了。
静白：熹贵妃赏的一顿板子，倒是教会了贫尼说实话。
甄嬛：但愿如此。
文鸳：静白师父有什么话赶紧回了，也不耽误师父清修。
静白：是。熹贵妃娘娘初来甘露寺时，素不理睬众人，咱们这些人也只得敬而远之了，那时宫中常有一位年长的姑姑前来探望娘娘，除此",81,1269
9,3,0.5232768058776855,ep63,63,996,True,"（景仁宫）
皇帝：祺贵人，瓜尔佳氏危言耸听，扰乱宫闱，打入冷宫。康常在、贞嫔，捕风捉影，以讹传讹，罚俸六个月。其余的交给熹贵妃处置。
甄嬛：槿汐，你带玢儿、莫言回去。静白、斐雯，杖毙。
斐雯：熹贵妃饶命，皇上饶命！（被拖出）
甄嬛：自本宫回宫以来，关于本宫和双生子的流言已经太多，从前不加责备，是觉得流言无稽，谁知一再宽纵反而酿成今日大祸！",81,1269
10,1,0.419759601354599,ep76,76,1182,False,（叶澜依割腕自尽）,45,73
10,2,0.34407705068588257,ep56,56,897,False,"（街）
胧月：额娘，我们这是要去哪儿啊？
敬妃：胧月，额娘带你去给熹娘娘请安。
胧月：就是那天穿得特漂亮的那个吗？
敬妃：胧月真聪明，就是她。
胧月：她也是胧月的额娘吗？为什么胧月以前都没有见过她？
敬妃：胧月，以前熹娘娘不在宫里啊。胧月，以后你要多去熹娘娘那里玩，熹娘娘可喜欢胧月了。
胧月：熹娘娘生得漂亮，胧月也喜欢，可是我还是最喜欢额娘。",45,73
10,3,0.3366364538669586,ep56,56,894,False,"（景仁宫内室）
甄嬛：给皇后娘娘请安，恭祝娘娘凤体康健、千岁金安。
皇后：起来坐吧。
甄嬛：谢娘娘。
皇后：剪秋，看茶。今儿个也不是初一十五的大日子，熹妃这样早就来了。
甄嬛：本该昨日一回宫就来的，因而今日特来向娘娘请罪。
皇后：你有孕在身，又刚从甘露寺回来，是应该好好地歇息一下，反正日后都要见的，请安也不急在一时。
甄嬛：皇后关怀，臣妾也不敢太放肆。臣妾在外，不敢忘了皇后恩德，因此日日祝祷，奉了",45,73
11,1,0.3380381762981415,ep76,76,1182,False,（叶澜依割腕自尽）,38,77
11,2,0.2902664244174957,ep56,56,894,False,"（景仁宫内室）
甄嬛：给皇后娘娘请安，恭祝娘娘凤体康健、千岁金安。
皇后：起来坐吧。
甄嬛：谢娘娘。
皇后：剪秋，看茶。今儿个也不是初一十五的大日子，熹妃这样早就来了。
甄嬛：本该昨日一回宫就来的，因而今日特来向娘娘请罪。
皇后：你有孕在身，又刚从甘露寺回来，是应该好好地歇息一下，反正日后都要见的，请安也不急在一时。
甄嬛：皇后关怀，臣妾也不敢太放肆。臣妾在外，不敢忘了皇后恩德，因此日日祝祷，奉了",38,77
11,3,0.29000645875930786,ep56,56,897,False,"（街）
胧月：额娘，我们这是要去哪儿啊？
敬妃：胧月，额娘带你去给熹娘娘请安。
胧月：就是那天穿得特漂亮的那个吗？
敬妃：胧月真聪明，就是她。
胧月：她也是胧月的额娘吗？为什么胧月以前都没有见过她？
敬妃：胧月，以前熹娘娘不在宫里啊。胧月，以后你要多去熹娘娘那里玩，熹娘娘可喜欢胧月了。
胧月：熹娘娘生得漂亮，胧月也喜欢，可是我还是最喜欢额娘。",38,77
12,1,0.5868824124336243,ep63,63,1002,False,"（碎玉轩）
眉庄：景仁宫到现在都没有消息，温大人也还没有回来，采月，你快出去打听打听，看是怎么回事啊？
宝鹊（入）：娘娘，不好了，景仁宫乱成一团，熹贵妃受了好大的委屈，安嫔娘娘让奴婢来给您报个信。
眉庄：你说什么，熹贵妃受了好大的委屈？受了什么委屈？
宝鹊：还不是祺贵人闹起来，说六阿哥是贵妃和温太医生的。（眉庄气急）奴婢先告退。
眉庄：准备好轿辇，立刻去景仁宫。
采月：小主断不能去，如果真按宝鹊所",30,4673
12,2,0.58097243309021,ep76,76,1179,False,"（勤政殿，皇帝躺着）
皇帝：渴了，喝点水。
澜依：好，皇上也该到了服用金丹的时候了，（喂丹丸）来，让臣妾伺候您服用。来，让臣妾扶着您。
皇帝：朕记得你刚入宫的时候性子孤傲冷淡，现在是是越来越柔情似水了。
澜依：皇上难道没有听说过“温柔刀，刀刀割人性命”吗？
甄嬛（入）：皇上万福金安。
（澜依使个眼色，出）
甄嬛：皇上气色倒好多了。
皇帝：夏刈呢？
甄嬛：药熬好了，皇上怎么先喝参汤了？
皇帝：夏刈。",30,4673
12,3,0.5720808506011963,ep56,56,899,False,"（寿康宫，眉嬛入）
眉庄：太后怎么先喝上药了，应该臣妾来喂您才是啊。
太后：你来得正好，除了你孙姑姑，也就你伺候得最叫哀家舒坦。
甄嬛：臣妾拜见太后，愿太后凤体康健、福泽万年。
太后：回来了？永寿宫住得还习惯？
甄嬛：永寿宫太过奢华，臣妾很是不安。
太后：虽然奢华，皇帝要宠着你，也不算什么。这药喝得哀家舌头发苦，去倒掉也罢。
眉庄：臣妾就说太后越活越年轻，太后还不信，非说臣妾哄您，如今这怕苦不肯吃",30,4673
13,1,0.5354021787643433,ep76,76,1182,False,（叶澜依割腕自尽）,20,53
13,2,0.5108430981636047,ep76,76,1179,False,"（勤政殿，皇帝躺着）
皇帝：渴了，喝点水。
澜依：好，皇上也该到了服用金丹的时候了，（喂丹丸）来，让臣妾伺候您服用。来，让臣妾扶着您。
皇帝：朕记得你刚入宫的时候性子孤傲冷淡，现在是是越来越柔情似水了。
澜依：皇上难道没有听说过“温柔刀，刀刀割人性命”吗？
甄嬛（入）：皇上万福金安。
（澜依使个眼色，出）
甄嬛：皇上气色倒好多了。
皇帝：夏刈呢？
甄嬛：药熬好了，皇上怎么先喝参汤了？
皇帝：夏刈。",20,53
13,3,0.46584439277648926,ep63,63,996,True,"（景仁宫）
甄嬛：斐雯，你在宫里这些日子，本宫倒没瞧出你有这份心胸。
斐雯：奴婢伺候娘娘，有什么心胸都牵挂在娘娘身上，但是奴婢在宫里当差，只能对皇上一人尽忠，若有得罪还请娘娘恕罪。
甄嬛：你对皇上尽忠也算得罪本宫的话，岂非要置本宫于不忠不义之地了？容臣妾问她几句话。斐雯，无论今日之事结局如何，你都不能再回永寿宫再伺候本宫了。
斐雯：只要是在宫里伺候，无论服侍哪位小主，奴婢都会赴汤蹈火在所不辞。
甄",20,53
14,1,0.5353296995162964,ep76,76,1182,False,（叶澜依割腕自尽）,33,608
14,2,0.4571491479873657,ep63,63,996,True,"（景仁宫）
甄嬛：斐雯，你在宫里这些日子，本宫倒没瞧出你有这份心胸。
斐雯：奴婢伺候娘娘，有什么心胸都牵挂在娘娘身上，但是奴婢在宫里当差，只能对皇上一人尽忠，若有得罪还请娘娘恕罪。
甄嬛：你对皇上尽忠也算得罪本宫的话，岂非要置本宫于不忠不义之地了？容臣妾问她几句话。斐雯，无论今日之事结局如何，你都不能再回永寿宫再伺候本宫了。
斐雯：只要是在宫里伺候，无论服侍哪位小主，奴婢都会赴汤蹈火在所不辞。
甄",33,608
14,3,0.45690423250198364,ep56,56,894,False,"（景仁宫内室）
甄嬛：给皇后娘娘请安，恭祝娘娘凤体康健、千岁金安。
皇后：起来坐吧。
甄嬛：谢娘娘。
皇后：剪秋，看茶。今儿个也不是初一十五的大日子，熹妃这样早就来了。
甄嬛：本该昨日一回宫就来的，因而今日特来向娘娘请罪。
皇后：你有孕在身，又刚从甘露寺回来，是应该好好地歇息一下，反正日后都要见的，请安也不急在一时。
甄嬛：皇后关怀，臣妾也不敢太放肆。臣妾在外，不敢忘了皇后恩德，因此日日祝祷，奉了",33,608
15,1,0.4982404410839081,ep76,76,1182,False,（叶澜依割腕自尽）,22,242
15,2,0.4309297204017639,ep56,56,894,False,"（景仁宫内室）
甄嬛：给皇后娘娘请安，恭祝娘娘凤体康健、千岁金安。
皇后：起来坐吧。
甄嬛：谢娘娘。
皇后：剪秋，看茶。今儿个也不是初一十五的大日子，熹妃这样早就来了。
甄嬛：本该昨日一回宫就来的，因而今日特来向娘娘请罪。
皇后：你有孕在身，又刚从甘露寺回来，是应该好好地歇息一下，反正日后都要见的，请安也不急在一时。
甄嬛：皇后关怀，臣妾也不敢太放肆。臣妾在外，不敢忘了皇后恩德，因此日日祝祷，奉了",22,242
15,3,0.43057745695114136,ep63,63,1001,False,"（玉娆赶路撞上允禧）
允禧：这样匆匆忙忙的出什么事了？
玉娆：别拦着我，姐姐出事了，我要去救人，走。
允禧：宫里怎么了？",22,242
16,1,0.4869046211242676,ep56,56,896,False,"（永寿宫）
槿汐：奴婢让小厨房进了一碗安胎定神的桑寄生杜仲贝母汤，您尝尝。
甄嬛：这汤不错，同样是安胎定神，可比那些苦得倒胃的安胎药强多了。
浣碧：小主，惠嫔娘娘来了。
甄嬛：快请她进来。
眉庄（入）：我在门口可都听见了，如今有了身孕，口味愈发刁钻了。
甄嬛：我正想着你，你就来了。快去拿眉姐姐爱吃的枣泥山药糕来，茶要碧螺春，快去。
眉庄：你惦记着我爱吃枣泥山药糕，我可是记着你有了身孕不爱吃太腻的，",100,10396
16,2,0.4772460460662842,ep76,76,1179,False,"（勤政殿，皇帝躺着）
皇帝：渴了，喝点水。
澜依：好，皇上也该到了服用金丹的时候了，（喂丹丸）来，让臣妾伺候您服用。来，让臣妾扶着您。
皇帝：朕记得你刚入宫的时候性子孤傲冷淡，现在是是越来越柔情似水了。
澜依：皇上难道没有听说过“温柔刀，刀刀割人性命”吗？
甄嬛（入）：皇上万福金安。
（澜依使个眼色，出）
甄嬛：皇上气色倒好多了。
皇帝：夏刈呢？
甄嬛：药熬好了，皇上怎么先喝参汤了？
皇帝：夏刈。",100,10396
16,3,0.4699247479438782,ep56,56,894,False,"（景仁宫内室）
甄嬛：给皇后娘娘请安，恭祝娘娘凤体康健、千岁金安。
皇后：起来坐吧。
甄嬛：谢娘娘。
皇后：剪秋，看茶。今儿个也不是初一十五的大日子，熹妃这样早就来了。
甄嬛：本该昨日一回宫就来的，因而今日特来向娘娘请罪。
皇后：你有孕在身，又刚从甘露寺回来，是应该好好地歇息一下，反正日后都要见的，请安也不急在一时。
甄嬛：皇后关怀，臣妾也不敢太放肆。臣妾在外，不敢忘了皇后恩德，因此日日祝祷，奉了",100,10396
17,1,0.4820977747440338,ep76,76,1182,False,（叶澜依割腕自尽）,36,9450
17,2,0.47199440002441406,ep76,76,1179,False,"（勤政殿，皇帝躺着）
皇帝：渴了，喝点水。
澜依：好，皇上也该到了服用金丹的时候了，（喂丹丸）来，让臣妾伺候您服用。来，让臣妾扶着您。
皇帝：朕记得你刚入宫的时候性子孤傲冷淡，现在是是越来越柔情似水了。
澜依：皇上难道没有听说过“温柔刀，刀刀割人性命”吗？
甄嬛（入）：皇上万福金安。
（澜依使个眼色，出）
甄嬛：皇上气色倒好多了。
皇帝：夏刈呢？
甄嬛：药熬好了，皇上怎么先喝参汤了？
皇帝：夏刈。",36,9450
17,3,0.4626946747303009,ep56,56,897,False,"（街）
胧月：额娘，我们这是要去哪儿啊？
敬妃：胧月，额娘带你去给熹娘娘请安。
胧月：就是那天穿得特漂亮的那个吗？
敬妃：胧月真聪明，就是她。
胧月：她也是胧月的额娘吗？为什么胧月以前都没有见过她？
敬妃：胧月，以前熹娘娘不在宫里啊。胧月，以后你要多去熹娘娘那里玩，熹娘娘可喜欢胧月了。
胧月：熹娘娘生得漂亮，胧月也喜欢，可是我还是最喜欢额娘。",36,9450
18,1,0.7482172250747681,ep56,56,898,False,"（永寿宫）
甄嬛：姐姐的绣功是越发好了，我的孩子要赖着姐姐做姨娘，你还不多做几件肚兜？
眉庄：这些年给胧月做得还少吗？差不多都是我和敬妃亲自动手，你说你要是生上一辈子的孩子，那我岂不是要给你做一辈子的衣裳了？你这算盘也打得真好。
槿汐：娘娘，敬妃带着胧月公主来了。
甄嬛：快请进来。
敬妃：这里真是凉爽啊，皇上让人用三个月修的永寿宫果然甚好。胧月快点叫。
胧月：给熹娘娘请安。
甄嬛：昨日人多不好言谢",39,3465
18,2,0.727014422416687,ep56,56,897,False,"（街）
胧月：额娘，我们这是要去哪儿啊？
敬妃：胧月，额娘带你去给熹娘娘请安。
胧月：就是那天穿得特漂亮的那个吗？
敬妃：胧月真聪明，就是她。
胧月：她也是胧月的额娘吗？为什么胧月以前都没有见过她？
敬妃：胧月，以前熹娘娘不在宫里啊。胧月，以后你要多去熹娘娘那里玩，熹娘娘可喜欢胧月了。
胧月：熹娘娘生得漂亮，胧月也喜欢，可是我还是最喜欢额娘。",39,3465
18,3,0.6604862809181213,ep56,56,894,False,"（景仁宫内室）
甄嬛：给皇后娘娘请安，恭祝娘娘凤体康健、千岁金安。
皇后：起来坐吧。
甄嬛：谢娘娘。
皇后：剪秋，看茶。今儿个也不是初一十五的大日子，熹妃这样早就来了。
甄嬛：本该昨日一回宫就来的，因而今日特来向娘娘请罪。
皇后：你有孕在身，又刚从甘露寺回来，是应该好好地歇息一下，反正日后都要见的，请安也不急在一时。
甄嬛：皇后关怀，臣妾也不敢太放肆。臣妾在外，不敢忘了皇后恩德，因此日日祝祷，奉了",39,3465
19,1,0.7210527658462524,ep76,76,1178,False,"（小允子带人围殴夏刈）
小允子：手脚利索点，快快快！赶紧，堵住嘴，堵住嘴。
夏刈：你们、你们要干什么？谁敢杀我？我是替皇上办事的！
小允子：就是因为你替皇上办了不该办的事，所以才有人要了结你。
夏刈：胡说，皇上要我查六阿哥——
小允子（板砖砸下）：叫你嘴上没把门的！赶紧打发了他，完了拖出角门，说是死了个太监。",60,5534
19,2,0.5574724674224854,ep76,76,1182,False,（叶澜依割腕自尽）,60,5534
