cluster_id,size,likes_total,type,avg_top_sim,max_top_sim,best_comment,best_comment_likes,matched_line,matched_character,matched_scene
29,20,7309,template_modification,0.6528080701828003,0.7215133905410767,眉庄:嬛兒怎麼可能跟溫實初私通呢!跟實初私通的是我阿!她是跟果郡王呀!(全劇終),222,温太医当咱们都是傻子吗，谁不知道槿汐和浣碧是熹贵妃的心腹，她们的证词怎么可以作数？温实初与甄嬛自幼青梅竹马，入宫后二人眉目传情，待甄嬛出宫后温实初私下探访，二人暗通款曲，甄嬛再设计搬去凌云峰独居，私相往来，如同做了夫妻一般，以至甄嬛回宫后，,文鸳,ep63-996
28,71,7288,template_modification,0.6327186822891235,0.6891404986381531,"蘇培盛:奴才沒生育能力,溫太醫跟瑾矽怎麼可能是奴才的孩子! 雍正:朕知道! 你知道個屁!",438,皇上，这不可能的，奴才没有生育的能力，温太医与槿汐怎么可能是奴才的孩子？,苏培盛,ep63-996
69,38,6793,template_modification,0.6720986366271973,0.7711980938911438,"剛入宮的甄嬛已經死了,皇上您忘了?是您親手殺死了她。 一句台詞如此簡單,卻是如此痛心啊",2835,刚入宫的甄嬛已经死了，皇上你忘了？是您亲手杀了她，臣妾是钮祜禄甄嬛。,甄嬛,ep76-1179
6,53,6567,template_modification,0.584156334400177,0.6574990153312683,夏刈堂堂一個皇上欽點的血滴子 幫他殺了這麼多人 竟然就被幾個太監給幹掉了XDDD,2170,皇上病重，夏刈是留不得了。,甄嬛,ep76-1177
37,37,5952,template_modification,0.5296972393989563,0.6112461686134338,每次看到這集都一直在想...熹貴妃的口紅色號,3662,熹妃回宫——,太监,ep56-891
60,101,5588,template_modification,0.6003769040107727,0.6708559989929199,皇上:你閉嘴!!!超像國小班導的哈哈哈,761,你——（皇帝：你闭嘴！）,文鸳,ep63-996
46,88,5404,template_modification,0.6227396726608276,0.6899108290672302,感覺端妃後來不太見甄嬛是因為他知道皇上是被甄嬛害死的 病了只是藉口 畢竟端妃應該是愛著皇上的,322,端姐姐又病了，自从皇上龙驭宾天之后，她日夜伤心，现在已经卧床不起了。,敬贵太妃,ep76-1185
55,61,5089,template_modification,0.6201878786087036,0.6695302724838257,"倒難為了祺貴人,一個個把你們給solo起來!",1177,祺贵人，你若肯供出幕后指使，本宫或许可以饶过你，你这条命要不要全在你。,甄嬛,ep63-996
72,23,4874,template_modification,0.6192449331283569,0.6608757972717285,好奇怪...我沒想到看了多年 看到最後最喜歡的是甄嬛與眉庄的好感情 ...每次看都打從心底開心感動,251,甄嬛，这几年你也不好过吧？,皇后,ep76-1184
65,26,4839,template_modification,0.6283661127090454,0.6541668772697449,皇上多渴望愛 皇額娘走的時候要求給他唱一首搖籃曲 現在要求甄嬛喚他一聲四郎 他要的很簡單 卻始終無法得到 帝王家啊..,841,朕这一生，要求的或许曾经得到，然而正如流沙逝于掌心，终于也都没有了。嬛嬛，你已经很久没有叫过朕四郎了，你再叫一次，好吗？,皇帝,ep76-1179
18,34,4830,template_modification,0.5867403745651245,0.6548992991447449,"「看不慣他桀驁不遜的樣子,把自己當什麼人啊」 這句話完整送回給浣碧自己...",1529,奴婢就是看不惯她桀骜不驯的样子，把自己当什么人哪。,浣碧,ep56-896
33,47,4828,template_modification,0.6177945733070374,0.6630818247795105,四阿哥不愧是皇上親生 父子心性果然相像 嬛嬛都已經把皇帝之位讓給他當了 六阿哥才幾歲就已經在提防他了 難怪嬛嬛趕緊把六阿哥入果親王一脈 既把親兒子的名分還給了果親王 又沒了爭皇位的身份避免被四阿哥暗害,1242,弘曕是哀家幼子，又曾被先帝议储，如今弘曕已经长大，若是外头再起闲话动摇江山，岂非是哀家的罪过？所以哀家想请皇帝同意让弘曕入嗣果亲王一脉。,甄嬛,ep76-1187
43,23,4810,template_modification,0.5689315795898438,0.5967666506767273,"欣嬪榮登甄嬛傳最有福氣之人,不爭不搶還能有個太妃的位子坐",1931,皇贵太妃怎么没来？,甄嬛,ep76-1185
39,57,4392,template_modification,0.5344125032424927,0.5556619763374329,至少她躲過2次被刺腳,513,刺一滴血。,皇帝,ep63-996
22,21,4297,template_modification,0.5672152042388916,0.6517505645751953,"皇上,這碗油絕對沒問題😌",280,臣妾准备的水绝没有问题。,皇后,ep63-996
45,31,3906,template_modification,0.5912736654281616,0.6503691673278809,"景仁宮輕輕一句畢竟她才是親額娘,就讓敬妃熹妃矛盾",337,傻孩子，什么额不额娘的，这个熹妃娘娘才是你的亲额娘呢。,敬妃,ep56-898
64,40,3637,template_modification,0.5528435707092285,0.5856902003288269,"寧嬪/個性瀟洒獨行,並不是能被人所左右的,這樣性格的人,能得到她的支持的人,非常不容易。 惠嬪/一個人一輩子能有這樣的朋友,至死無憾。 像她倆這樣,自重自愛自律的人,不管時空在那,已不多見",111,小主，惠嫔娘娘来了。,浣碧,ep56-896
16,40,3586,template_modification,0.5777292847633362,0.6526809930801392,我再也不是沒有野額娘的野孩子了,125,你不是我额娘。,胧月,ep56-898
7,32,3462,template_modification,0.6617330312728882,0.7296009659767151,"沒有人覺得敬妃讓朧月認母的方式有點心機嗎,本來可以讓朧月慢慢接納,卻用強硬方式,難怪小孩會反彈,藉此留朧月在身邊",310,胧月竟这样舍不得敬妃，可见这些年敬妃真真是待胧月好，方才见她们母女情分这样深，即便我强要了胧月回来，胧月与我也只会更生分，怕也伤了我与敬妃多年的情分。,甄嬛,ep56-900
12,44,3146,template_modification,0.6145322322845459,0.7306556105613708,好想吃吃看口味清甜的藕粉桂花糖糕ʕ •ᴥ•ʔ,637,这么多年了，还是姐姐做的藕粉桂花糖糕最好吃，我在外面也时常想着。,甄嬛,ep56-896
54,27,2944,template_modification,0.5690057873725891,0.635533332824707,她前期也是辛苦 被皇后弄流產 又被余氏關進慎刑司 後又被祺嬪欺負爭寵 這都是苦,119,你说什么，熹贵妃受了好大的委屈？受了什么委屈？,眉庄,ep63-1002
2,51,2910,template_modification,0.6375471353530884,0.7392503023147583,"剩兩個禮拜就要2025年了,我還跟著熹妃回宮",427,熹妃回宫——,太监,ep56-891
79,59,2909,template_modification,0.5972644090652466,0.6261113286018372,有像餒哈哈哈哈哈,212,你有没有？,皇帝,ep63-996
11,58,2859,template_modification,0.5991269946098328,0.6954800486564636,「朕還真希望妳姐姐沒有你這麼個妹妹」,146,朕倒真希望你姐姐没有你这么个妹妹，朕要知道那水——,皇帝,ep63-996
67,21,2801,template_modification,0.549717128276825,0.5949856638908386,還會造鞦韆😂,1329,快点让额娘抱抱。,甄嬛,ep56-898
85,43,2706,creative_derivative,0.464221328496933,0.5221386551856995,這集真是後半段的精彩看點之一,355,嗻。,苏培盛,ep63-996
56,47,2631,template_modification,0.564156711101532,0.6626453399658203,還有最後的「皇后」。,172,皇后……皇后……（哭）,皇后,ep76-1184
66,79,2478,creative_derivative,0.48745185136795044,0.5506081581115723,"我做什麼事你都不用管,你的福氣在後頭",155,额娘，你别走。,胧月,ep56-898
48,38,2439,template_modification,0.5959807634353638,0.6414117813110352,這部劇裡的太后都有外遇過XDD,302,太后——,眉庄,ep56-899
21,26,2350,template_modification,0.5873794555664062,0.618107259273529,"所以最後雖然皇上不要她的命只廢為庶人,但蘇培盛就趁機報仇了",173,苏培盛，去把六阿哥抱来。,皇帝,ep63-996
74,26,2350,template_modification,0.623857319355011,0.7175818681716919,有一種還清了...但其實每走一個人甄嬛就知道又離她原來的自己更遠了吧,419,甄嬛，这几年你也不好过吧？,皇后,ep76-1184
77,73,2304,template_modification,0.6259363889694214,0.7284780144691467,才剛2026年還是要看一下,525,什么时候啊？,敬贵太妃,ep76-1185
80,83,2128,creative_derivative,0.4584938883781433,0.5057542324066162,"看了N遍數不清了,有時候只用聽的也滿足",233,都好。,甄嬛,ep56-891
38,28,1947,creative_derivative,0.48262518644332886,0.5713403224945068,"瓜爾佳氏生了這麼一個好女兒,一定覺得祖墳冒青煙了。",335,是吗？从瓜尔佳氏一族崛起那一日起，你阿玛妒忌我父亲，你恨毒了我。,甄嬛,ep63-996
71,57,1926,template_modification,0.5002140402793884,0.5424126982688904,但她演技真的不行,147,甄嬛，这几年你也不好过吧？,皇后,ep76-1184
32,31,1900,template_modification,0.6380530595779419,0.6880094408988953,或許他也知道六阿哥也是果親王的,86,六阿哥弘曕给皇上请安。皇上，这六阿哥？,苏培盛,ep63-996
20,42,1750,template_modification,0.590607762336731,0.6357810497283936,蘇公公一陣尷尬,393,宫里怎么了？,允禧,ep63-1001
4,25,1691,creative_derivative,0.4925999045372009,0.5452480912208557,@andyshane30617 葉瀾依也是啊,136,都起来吧。,皇帝,ep56-892
9,26,1656,template_modification,0.5428245067596436,0.6844818592071533,所以胖橘才會說後宮無一日安寧朕何從萬安🤣,38,后宫无一日安宁的，朕何从万安？,皇帝,ep63-996
75,46,1571,template_modification,0.6015620231628418,0.7008222937583923,至少四次,51,四年了。,小允子,ep76-1183
15,44,1557,template_modification,0.5743429064750671,0.6746341586112976,安嬪其實是大堂之上最聰明狠毒的 表面上護著甄嬛實則落井下石 事蹟敗壞後又立刻建議皇上拔去淨白舌頭 自身撇得乾乾淨淨,236,总以为安嫔温柔敦厚，没想到你也有这辣手无情的时候。,欣贵人,ep63-996
30,34,1471,template_modification,0.6265102624893188,0.7001109719276428,"滴血驗親? 滴血驗親? 豹子頭:吼阿~~~~~~~ 先嚇嚇他 抱歉,錯棚",273,臣妾以前倒是听太医说过，所谓滴血验亲，便是将二人的血刺在同一器皿之内，看是否融为一体，若融为一体即为亲，否则便是没有血缘之亲。,陵容,ep63-996
24,29,1467,template_modification,0.5826653838157654,0.7217831611633301,"四阿哥:惠嬪娘娘告訴我,只要有額娘在,我就不再是沒有額娘的野孩子。 我還以為甄嬛要接:額娘也不是沒有兒子的野額娘了。😂",54,儿子也有好些时间没见额娘了，心里很想念额娘。惠嫔娘娘告诉我，只要有额娘在，我就不再是没有额娘的野孩子。,弘历,ep56-893
27,24,1366,template_modification,0.5577349066734314,0.6391798853874207,嬛嬛與允禮在溪邊道別,244,嬛嬛，委屈你了。,皇帝,ep63-996
53,28,1315,template_modification,0.5598677396774292,0.6750271916389465,看的好細喔,166,那你说怎么样才叫仔细？,皇帝,ep63-996
26,47,1281,template_modification,0.5226516723632812,0.6146479845046997,笑死我了,80,这样匆匆忙忙的出什么事了？,允禧,ep63-1001
36,26,1218,template_modification,0.5468597412109375,0.5822500586509705,"李佳宜 其实回宫后甄嬛瞳色变成咖啡色了,很自然的美瞳,让观众一下就觉得甄嬛不一样了又说不出来哪里,好像就是眼神,这是导演的妙笔,加上演员的表演,更显得她不像从前,眼里多了一份算计与心思。",177,刚入宫的甄嬛已经死了，皇上你忘了？是您亲手杀了她，臣妾是钮祜禄甄嬛。,甄嬛,ep76-1179
34,41,1180,template_modification,0.5757622718811035,0.7134039998054504,"畢竟弘曆是雍正的種,父子倆的心性是最相像的",72,弘曕到底是不是朕的儿子？,皇帝,ep76-1179
83,49,1103,template_modification,0.5588065385818481,0.6163787245750427,到處開會,87,都起来吧。,皇帝,ep56-892
49,25,1057,template_modification,0.6170127391815186,0.7056909203529358,"水是皇后準備的,端妃知道皇后的心思,才會馬上瞪皇后",57,刚才为了公允起见，是皇后亲自准备的水。,皇帝,ep63-996
81,39,880,template_modification,0.6054447889328003,0.6537013649940491,謝謝妳的讚美,57,多谢太后教导。,富察氏青樱,ep76-1185
19,28,762,template_modification,0.5355252027511597,0.5950243473052979,啥時再直播啦🥲🥲🥲 想看大家一起練蕭威🤣🤣🤣,11,都起来吧。,皇帝,ep56-892
10,22,745,template_modification,0.5548533201217651,0.6196280717849731,他吃的是硃砂不是金丹吧,43,药熬好了，皇上怎么先喝参汤了？,甄嬛,ep76-1179
52,24,729,template_modification,0.5857940912246704,0.6344636678695679,"如懿是不願意算計皇上,不然他進言太后讓嫡癌出嫁的時候也是很厲害",49,当皇帝未必是天下第一得意事，先帝生前受了后宫多少算计，连他自己都算不清，哀家可怕极了将来自己的儿子会娶上一位像您这样的皇后，算计得先帝几乎断子绝孙。,甄嬛,ep76-1184
82,34,678,template_modification,0.6635876297950745,0.7244544625282288,好像是欸,35,是。,小允子,ep63-1000
70,47,612,template_modification,0.5452238917350769,0.5701357126235962,13:29 早上我跟鬧鐘對決的樣子,50,什么时候啊？,敬贵太妃,ep76-1185
14,22,606,creative_derivative,0.4936541020870209,0.5582965016365051,@xunangel325 青櫻這個角色在甄嬛裡的戲份少 所以應該是一次(也就是落枕當天)就將她所有part給拍完,89,嬛嬛，委屈你了。,皇帝,ep63-996
41,24,503,template_modification,0.575818657875061,0.6339157819747925,根本沒有過了八年的感覺啊啊啊,158,什么时候啊？,敬贵太妃,ep76-1185
44,23,500,template_modification,0.6020016074180603,0.6567575931549072,"如果我是甄嬛:[婓雯、靜白、安陵容、皇后、貞嬪、康常在,杖斃!」",29,槿汐，你带玢儿、莫言回去。静白、斐雯，杖毙。,甄嬛,ep63-996
61,28,470,template_modification,0.556485652923584,0.5833007097244263,"各位小主,我真的讓皇上在跨年那一秒駕崩了",10,皇上，这不可能，这绝对不可能啊皇上！,温实初,ep63-996
76,20,457,creative_derivative,0.4493587613105774,0.48936155438423157,"2023年,還是覺得這劇很神❤",145,甄嬛，这几年你也不好过吧？,皇后,ep76-1184
68,20,344,template_modification,0.5482805967330933,0.5674581527709961,底下留言比較好笑😂怎麼變成交友板了啦🤣,14,这样匆匆忙忙的出什么事了？,允禧,ep63-1001
47,33,344,template_modification,0.6250299215316772,0.6727567315101624,"23:27我記得甄嬛早就改成鈕祜祿氏了,因此在喝斥時應該是「大膽鈕祜祿甄嬛」(連名帶姓的叫,不太可能在盛怒之下只喊名字),而皇后只稱甄嬛兩個字,可見在皇后心中很牴觸皇上為熹貴妃打造的身份😂",35,是。奉天承运，皇帝诏曰：惟赞宫廷而衍庆，端赖柔嘉，钮祜禄甄嬛，毓质名门，温恭懋著，仰承皇太后慈谕，册为熹妃，钦此。熹妃至此，臣弟也算功德圆满。,允礼,ep56-891
62,25,342,template_modification,0.5692887306213379,0.619834840297699,確認過眼神,78,那你说怎么样才叫仔细？,皇帝,ep63-996
13,22,295,template_modification,0.5094175338745117,0.5724846124649048,"我常常在想,這是不是巧克力球😂",17,有劳贵人垂询，是。,静白,ep63-996
0,22,273,template_modification,0.5681062936782837,0.612313449382782,小朧月好可愛啊,22,胧月真聪明，就是她。,敬妃,ep56-897
58,24,262,template_modification,0.5037925839424133,0.5450354814529419,經典就是經典~是無法超越的~,21,都好。,甄嬛,ep56-891
25,35,176,template_modification,0.5263495445251465,0.5922748446464539,2022/1/14 +1,38,什么时候啊？,敬贵太妃,ep76-1185
17,27,132,template_modification,0.5140457153320312,0.5880507230758667,😂坐等24小時馬拉松,13,什么时候啊？,敬贵太妃,ep76-1185
